?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/CLO_0000474>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal dog lung-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0009056>	<http://www.w3.org/2000/01/rdf-schema#label>	"SK-N-F1 cell"	
<http://purl.obolibrary.org/obo/CLO_0006271>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF113/83 cell"	
<http://purl.obolibrary.org/obo/CLO_0000013>	<http://www.w3.org/2000/01/rdf-schema#label>	"adherent on feeder cells cell line culturing"	
<http://purl.obolibrary.org/obo/CLO_0050415>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB1698 cell"	
<http://purl.obolibrary.org/obo/CLO_0000403>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal Chinese hamster ovary-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0007931>	<http://www.w3.org/2000/01/rdf-schema#label>	"N92 cell"	
<http://purl.obolibrary.org/obo/CLO_0000479>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0006095>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF095/87 cell"	
<http://purl.obolibrary.org/obo/CLO_0000418>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal western gorilla skin-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000188>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal skin-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0050239>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB1604 cell"	
<http://purl.obolibrary.org/obo/CLO_0000169>	<http://www.w3.org/2000/01/rdf-schema#label>	"hybridoma cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0007755>	<http://www.w3.org/2000/01/rdf-schema#label>	"MM15OT cell"	
<http://purl.obolibrary.org/obo/CLO_0000424>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human lung-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0004970>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF028/88 cell"	
<http://purl.obolibrary.org/obo/CLO_0007579>	<http://www.w3.org/2000/01/rdf-schema#label>	"MC17-51 cell"	
<http://purl.obolibrary.org/obo/CLO_0000499>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal mouse fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0004794>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF020/91 cell"	
<http://purl.obolibrary.org/obo/CLO_0009107>	<http://www.w3.org/2000/01/rdf-schema#label>	"SODK1 [SODK1293] cell"	
<http://purl.obolibrary.org/obo/CLO_0000587>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human kidney-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0006322>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF121/91 cell"	
<http://purl.obolibrary.org/obo/CLO_0000413>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal red-bellied lemur skin-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0006146>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF099/90 cell"	
<http://purl.obolibrary.org/obo/CLO_0003361>	<http://www.w3.org/2000/01/rdf-schema#label>	"FL83B cell"	
<http://purl.obolibrary.org/obo/CLO_0000537>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal mouse liver-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0007806>	<http://www.w3.org/2000/01/rdf-schema#label>	"MMT 060562 cell"	
<http://purl.obolibrary.org/obo/CLO_0000616>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal mouse mammary gland-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0003185>	<http://www.w3.org/2000/01/rdf-schema#label>	"FH 49 cell"	
<http://purl.obolibrary.org/obo/CLO_0004845>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF022/97 cell"	
<http://purl.obolibrary.org/obo/CLO_0004669>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF014/94 cell"	
<http://purl.obolibrary.org/obo/CLO_0001884>	<http://www.w3.org/2000/01/rdf-schema#label>	"BBM cell"	
<http://purl.obolibrary.org/obo/CLO_0000493>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human lung-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0003412>	<http://www.w3.org/2000/01/rdf-schema#label>	"FW4-101-1-1 cell"	
<http://purl.obolibrary.org/obo/CLO_0003236>	<http://www.w3.org/2000/01/rdf-schema#label>	"FHC cell"	
